ano,estado,tipo,tipo2,quantidade
2001,CEARÁ,Cédulas - 1a. família,1,3
2001,CEARÁ,Cédulas - 1a. família,5,1188
2001,CEARÁ,Cédulas - 1a. família,10,4738
2001,CEARÁ,Cédulas - em polímero,10,93
2001,CEARÁ,Cédulas - 1a. família,50,2532
2001,CEARÁ,Cédulas - 1a. família,100,34
2001,DISTRITO FEDERAL,Cédulas - 1a. família,1,6
2001,DISTRITO FEDERAL,Cédulas - 1a. família,5,2072
2001,DISTRITO FEDERAL,Cédulas - em polímero,10,33
2001,DISTRITO FEDERAL,Cédulas - 1a. família,50,4094
2001,DISTRITO FEDERAL,Cédulas - 1a. família,100,43
2001,ESPÍRITO SANTO,Cédulas - 1a. família,1,2
2001,ESPÍRITO SANTO,Cédulas - 1a. família,5,251
2001,ESPÍRITO SANTO,Cédulas - 1a. família,10,1352
2001,ESPÍRITO SANTO,Cédulas - em polímero,10,10
2001,ESPÍRITO SANTO,Cédulas - 1a. família,100,9
2001,GOIÁS,Cédulas - 1a. família,1,3
2001,GOIÁS,Cédulas - 1a. família,5,757
2001,GOIÁS,Cédulas - 1a. família,10,4899
2001,GOIÁS,Cédulas - em polímero,10,64
2001,GOIÁS,Cédulas - 1a. família,50,3594
2001,GOIÁS,Cédulas - 1a. família,100,71
2001,MARANHÃO,Cédulas - 1a. família,1,1
2001,MARANHÃO,Cédulas - 1a. família,5,213
2001,MARANHÃO,Cédulas - 1a. família,10,1302
2001,MARANHÃO,Cédulas - em polímero,10,28
2001,MARANHÃO,Cédulas - 1a. família,50,818
2001,MARANHÃO,Cédulas - 1a. família,100,14
2001,MATO GROSSO,Cédulas - 1a. família,1,1
2001,MATO GROSSO,Cédulas - 1a. família,5,44
2001,MATO GROSSO,Cédulas - 1a. família,10,346
2001,MATO GROSSO,Cédulas - 1a. família,100,44
2001,MATO GROSSO DO SUL,Cédulas - 1a. família,5,46
2001,MATO GROSSO DO SUL,Cédulas - 1a. família,10,736
2001,MATO GROSSO DO SUL,Cédulas - em polímero,10,18
2001,MATO GROSSO DO SUL,Cédulas - 1a. família,50,4132
2001,MATO GROSSO DO SUL,Cédulas - 1a. família,100,22
2001,MINAS GERAIS,Cédulas - 1a. família,1,18
2001,MINAS GERAIS,Cédulas - 1a. família,10,23781
2001,MINAS GERAIS,Cédulas - em polímero,10,536
2001,MINAS GERAIS,Cédulas - 1a. família,20,9
2001,MINAS GERAIS,Cédulas - 1a. família,50,14113
2001,MINAS GERAIS,Cédulas - 1a. família,100,159
2001,PARÁ,Cédulas - 1a. família,1,1
2001,PARÁ,Cédulas - 1a. família,5,493
2001,PARÁ,Cédulas - 1a. família,10,2472
2001,PARÁ,Cédulas - em polímero,10,59
2001,PARÁ,Cédulas - 1a. família,50,1487
2001,PARÁ,Cédulas - 1a. família,100,16
2001,PARAÍBA,Cédulas - 1a. família,1,3
2001,PARAÍBA,Cédulas - 1a. família,5,78
2001,PARAÍBA,Cédulas - 1a. família,10,574
2001,PARAÍBA,Cédulas - em polímero,10,18
2001,PARAÍBA,Cédulas - 1a. família,50,439
2001,PARAÍBA,Cédulas - 1a. família,100,7
2001,PARANÁ,Cédulas - 1a. família,1,26
2001,PARANÁ,Cédulas - 1a. família,5,843
2001,PARANÁ,Cédulas - 1a. família,10,8261
2001,PARANÁ,Cédulas - em polímero,10,108
2001,PARANÁ,Cédulas - 1a. família,50,8922
2001,PARANÁ,Cédulas - 1a. família,100,113
2001,PERNAMBUCO,Cédulas - 1a. família,1,180
2001,PERNAMBUCO,Cédulas - 1a. família,5,3811
2001,PERNAMBUCO,Cédulas - em polímero,10,342
2001,PERNAMBUCO,Cédulas - 1a. família,50,3999
2001,PERNAMBUCO,Cédulas - 1a. família,100,32
2001,PIAUÍ,Cédulas - 1a. família,1,1
2001,PIAUÍ,Cédulas - 1a. família,5,135
2001,PIAUÍ,Cédulas - 1a. família,10,688
2001,PIAUÍ,Cédulas - em polímero,10,42
2001,PIAUÍ,Cédulas - 1a. família,50,1149
2001,PIAUÍ,Cédulas - 1a. família,100,8
2001,RIO DE JANEIRO,Cédulas - 1a. família,1,12
2001,RIO DE JANEIRO,Cédulas - 1a. família,5,3079
2001,RIO DE JANEIRO,Cédulas - 1a. família,10,19585
2001,RIO DE JANEIRO,Cédulas - em polímero,10,168
2001,RIO DE JANEIRO,Cédulas - 1a. família,50,20766
2001,RIO DE JANEIRO,Cédulas - 1a. família,100,224
2001,RIO GRANDE DO NORTE,Cédulas - 1a. família,1,3
2001,RIO GRANDE DO NORTE,Cédulas - 1a. família,5,69
2001,RIO GRANDE DO NORTE,Cédulas - 1a. família,10,764
2001,RIO GRANDE DO NORTE,Cédulas - em polímero,10,2
2001,RIO GRANDE DO NORTE,Cédulas - 1a. família,50,900
2001,RIO GRANDE DO NORTE,Cédulas - 1a. família,100,8
2001,RIO GRANDE DO SUL,Cédulas - 1a. família,1,14
2001,RIO GRANDE DO SUL,Cédulas - 1a. família,5,3606
2001,RIO GRANDE DO SUL,Cédulas - 1a. família,10,16889
2001,RIO GRANDE DO SUL,Cédulas - em polímero,10,245
2001,RIO GRANDE DO SUL,Cédulas - 1a. família,50,7884
2001,RIO GRANDE DO SUL,Cédulas - 1a. família,100,269
2001,RONDÔNIA,Cédulas - 1a. família,5,47
2001,RONDÔNIA,Cédulas - 1a. família,10,628
2001,RONDÔNIA,Cédulas - em polímero,10,1
2001,RONDÔNIA,Cédulas - 1a. família,50,628
2001,RONDÔNIA,Cédulas - 1a. família,100,64
2001,RORAIMA,Cédulas - 1a. família,10,12
2001,RORAIMA,Cédulas - 1a. família,50,60
2001,RORAIMA,Cédulas - 1a. família,100,10
2001,SANTA CATARINA,Cédulas - 1a. família,5,304
2001,SANTA CATARINA,Cédulas - 1a. família,10,2058
2001,SANTA CATARINA,Cédulas - em polímero,10,15
2001,SANTA CATARINA,Cédulas - 1a. família,50,3802
